,exclamations,commas,dots,questions,token_count,polarity,positive,negative,subjective,objective,spelling_errors,text_complexity,smog,nouns,verbs,adverbs,determiners,ad_count,domain_type,fb_shares,fb_like,linkedin_shares,alexa_rank,rating
42,0,41,55,0,987,1,1,1,1,1,5,833.2012364177766,14.265292616868656,124,142,83,86,0,com,,,,310,4
43,0,43,48,0,1122,1,19,6,19,6,17,1057.8459264923924,14.265292616868656,180,111,128,93,0,org,,,,12,5
45,0,118,102,1,2327,1,22,13,22,13,14,2500.7903507524256,14.265292616868656,398,246,244,233,0,org,,,,12,5
49,0,2,1,0,47,0,1,1,1,1,0,28.329178995432617,14.265292616868656,9,8,5,3,5,com,,,,76,5
54,0,0,5,0,45,1,2,1,2,1,1,20.83153089845781,14.265292616868656,5,10,4,3,0,com,,,,54,2
56,0,65,67,0,1492,0,28,30,28,30,13,1474.3475163750531,14.265292616868656,241,200,119,168,7,com,,,,480,5
58,0,26,38,0,737,0,,1,,1,9,766.0296662172414,14.265292616868656,137,96,64,74,0,com,,,,310,4
62,0,10,12,0,196,1,6,,6,,7,194.6057939474698,14.265292616868656,35,16,21,17,0,com,,,,647,4
63,0,55,64,0,1352,0,12,14,12,14,7,1124.4835923651142,14.265292616868656,200,181,124,117,7,com,,,,480,4
67,0,44,37,1,936,1,5,4,5,4,7,801.1333134617678,14.265292616868656,192,103,97,100,0,com,,,,2423011,3
68,0,5,5,0,111,1,2,1,2,1,0,64.336866467241,14.265292616868656,14,17,9,7,1,com,,,,108159,3
70,0,6,8,0,128,0,1,2,1,2,0,102.65727624087422,14.265292616868656,23,15,11,12,1,com,,,,43261,4
72,0,10,13,0,271,0,2,4,2,4,7,239.72902874378156,14.265292616868656,59,33,25,35,6,com,,,,76,5
74,0,1,2,0,25,1,2,,2,,1,7.224719895935549,14.265292616868656,4,3,4,2,1,com,,,,10093,5
78,0,27,34,0,721,0,8,10,8,10,4,683.3751735420022,14.265292616868656,229,70,77,88,1,com,,,,9806,3
81,1,682,403,0,11038,1,91,9,91,9,102,14333.149061108255,14.265292616868656,1721,1045,1254,931,0,org,,,,12,5
84,0,0,3,1,30,0,,2,,2,0,13.879203588660916,14.265292616868656,5,7,2,1,0,com,,,,1668,4
86,0,222,148,1,3267,1,50,1,50,1,31,3386.674920665152,14.265292616868656,468,278,334,252,0,org,,,,12,5
87,0,0,2,0,21,0,,2,,2,0,8.568636235841012,14.265292616868656,6,3,2,3,0,com,,,,2412,4
89,0,11,5,0,126,1,1,,1,,3,100.24903627556239,14.265292616868656,17,10,10,7,8,fm,,,,2133,4
93,0,1,0,0,72,1,3,,3,,0,44.090360102690646,14.265292616868656,10,6,5,2,10,com,,,,856,4
94,3,14,6,0,212,1,2,,2,,2,202.96673275092058,14.265292616868656,36,22,26,15,0,com,,,,107931,5
95,0,1,2,0,38,1,1,1,1,1,0,20.91763166343065,14.265292616868656,3,2,5,3,0,com,,,,70219,3
97,0,2,4,0,24,0,,1,,1,2,14.481263579988878,14.265292616868656,1,2,2,,0,com,,,,9045,3
99,0,64,66,0,1384,1,6,,6,,23,1560.6061415406905,14.265292616868656,206,130,159,118,1,com,,,,77960,4
101,0,24,44,1,865,1,13,4,13,4,10,1000.7675927549665,14.265292616868656,122,86,81,62,1,com,,,,9806,4
104,0,1,1,0,43,1,4,1,4,1,1,26.56248520675638,14.265292616868656,6,8,7,1,8,com,,,,3191,4
106,0,5,5,0,111,1,2,1,2,1,0,64.336866467241,14.265292616868656,14,17,9,7,1,com,,,,108159,4
108,5,251,21,12,4900,1,146,2,146,2,20,3117.0996717516737,14.265292616868656,502,118,127,128,1,com,,,,71,5
109,0,22,27,0,478,1,5,5,5,5,4,299.05191268701606,14.265292616868656,62,59,32,42,0,com,,,,480,5
110,0,1,1,0,26,1,2,,2,,0,9.397940008672037,14.265292616868656,6,3,2,1,0,com,,,,14584,5
112,0,26,21,0,358,1,17,1,17,1,5,325.43621921614215,14.265292616868656,58,22,15,12,3,com,,,,7118,4
113,3,16,26,10,442,0,2,13,2,13,4,257.4808934694913,14.265292616868656,48,61,26,46,0,com,,,,70219,3
115,0,1,0,0,15,1,1,,1,,0,4.668907502301862,14.265292616868656,3,,2,4,0,com,,,,16490,3
116,2,0,8,0,140,1,2,,2,,2,73.13190260254865,14.265292616868656,28,21,4,5,5,com,,,,17681,3
117,3,11,7,0,268,1,3,1,3,1,4,212.157801915152,14.265292616868656,48,27,29,31,9,com,,,,101716,3
118,0,6,2,0,51,1,1,,1,,2,29.533298978088542,14.265292616868656,8,4,3,1,0,com,,,,651492,3
119,0,36,36,0,717,1,8,7,8,7,4,522.0276475158341,14.265292616868656,92,89,57,53,0,com,,,,480,4
120,1,1051,716,1,16589,1,155,12,155,12,111,21116.771995599713,14.265292616868656,2627,1562,1774,1314,0,org,,,,12,5
121,0,2,1,0,35,1,1,,1,,0,20.31557167210269,14.265292616868656,8,2,5,6,1,com,,,,491621,4
122,0,3,5,0,83,1,1,,1,,0,52.83826156960372,14.265292616868656,15,10,14,8,0,com,,,,64,5
123,1,534,55,7,10322,1,324,,324,,83,6448.20625503478,14.265292616868656,893,498,203,244,1,com,,,,71,5
124,0,0,3,1,30,0,,2,,2,0,13.879203588660916,14.265292616868656,5,7,2,1,0,com,,,,1668,3
126,0,225,361,0,5652,1,94,7,94,7,38,6008.82505918234,14.265292616868656,912,569,572,437,0,org,,,,12,5
127,0,0,2,0,19,1,1,,1,,1,7.986122593625963,14.265292616868656,4,3,1,3,0,com,,,,56,4
131,0,13,3,0,116,1,1,,1,,0,82.2175479300692,14.265292616868656,19,8,13,8,8,fm,,,,2133,4
134,0,1,3,0,37,1,2,,2,,0,18.982545143891738,14.265292616868656,3,5,4,1,0,com,,,,13,5
139,0,0,1,0,15,1,1,,1,,0,7.224719895935549,14.265292616868656,3,3,2,1,1,com,,,,491621,4
141,36,1255,970,104,20590,1,423,111,423,111,75,18702.50674082556,14.265292616868656,2438,2689,1600,1462,0,org,,,,9395,4
143,0,1,1,0,26,1,1,,1,,0,8.588182584953925,14.265292616868656,5,,4,2,5,com,,,,1645,4
145,0,1,2,0,38,1,1,1,1,1,0,23.694258426775786,14.265292616868656,9,3,5,5,0,com,,,,70219,3
147,0,3,3,0,48,1,2,,2,,1,25.418539921951663,14.265292616868656,7,1,7,4,5,com,,,,76,5
149,0,0,2,0,19,1,1,,1,,1,7.986122593625963,14.265292616868656,4,3,1,3,0,com,,,,56,5
155,0,5,5,0,111,1,2,1,2,1,0,64.336866467241,14.265292616868656,14,17,9,7,1,com,,,,108159,4
156,1,114,108,1,2241,1,46,6,46,6,6,2393.1856438321634,14.265292616868656,349,242,220,163,0,com,,,,480,4
157,0,91,91,0,1966,1,34,1,34,1,14,2194.039188236709,14.265292616868656,323,212,200,165,2,com,,,,77960,4
158,0,5,9,0,190,1,2,,2,,0,155.81869414756818,14.265292616868656,38,16,22,21,0,com,,,,42,5
159,0,2,0,0,20,1,1,,1,,0,11.455319536740477,14.265292616868656,1,1,1,1,5,com,,,,4222,3
160,1,128,105,0,2236,1,32,5,32,5,26,2382.4977809276525,14.265292616868656,372,256,259,150,0,org,,,,12,5
161,0,99,72,0,1787,1,25,12,25,12,24,1832.1989500571797,14.265292616868656,324,182,171,137,0,org,,,,12,5
162,0,2,2,0,60,1,4,,4,,0,46.87341627782739,14.265292616868656,15,7,5,4,3,com,,,,647,4
163,0,9,6,0,114,1,2,1,2,1,3,71.10779778273628,14.265292616868656,21,13,16,11,0,com,,,,46622,3
164,0,5,5,0,111,1,2,1,2,1,0,64.336866467241,14.265292616868656,14,17,9,7,1,com,,,,108159,5
165,0,1,2,0,44,1,2,,2,,2,19.713511680774726,14.265292616868656,11,5,6,4,0,com,,,,70219,4
166,0,0,1,0,25,0,,1,,1,1,11.455319536740477,14.265292616868656,4,3,4,3,0,com,,,,10093,4
167,0,2,1,0,27,1,1,,1,,1,8.588182584953925,14.265292616868656,2,5,3,2,1,com,,,,10093,4
168,0,2,11,0,116,1,1,,1,,3,50.26410320545279,14.265292616868656,10,18,10,9,3,com,,,,7118,3
178,0,8,7,0,115,1,2,,2,,3,72.64725652788158,14.265292616868656,22,14,16,8,4,com,,,,1645,4
179,0,3,3,0,45,1,1,,1,,4,22.594905091859513,14.265292616868656,1,2,6,1,1,com,,,,71,5
180,1,8,8,0,136,1,8,,8,,6,104.84653443407198,14.265292616868656,18,10,12,3,4,com,,,,23893,3
183,0,1,1,0,48,1,3,1,3,1,3,39.918364886254174,14.265292616868656,3,2,7,1,3,com,,,,2208,3
188,0,0,2,0,19,1,1,,1,,1,7.986122593625963,14.265292616868656,4,3,1,3,0,com,,,,56,4
189,0,1,0,0,7,1,1,,1,,0,1.4313637641589874,14.265292616868656,1,1,,1,1,com,,,,10603,3
190,0,0,2,0,39,1,2,,2,,2,26.56248520675638,14.265292616868656,7,5,6,2,5,com,,,,76,5
191,1,6,4,0,104,0,1,2,1,2,4,51.6341415869478,14.265292616868656,12,16,12,4,2,com,,,,310,4
192,0,1,0,0,24,0,,1,,1,0,7.9861225936259626,14.265292616868656,3,3,3,2,1,com,,,,9651,3
196,0,0,0,0,16,0,,1,,1,0,2.4082399653118496,14.265292616868656,1,1,2,3,4,com,,,,9603127,2
198,1,13,6,0,286,1,8,4,8,4,4,267.0837908287044,14.265292616868656,62,36,29,24,19,com,,,,364428,1
200,0,601,617,0,14993,1,165,68,165,68,116,19377.549382124755,14.265292616868656,3532,1415,1615,1438,0,org,,,,12,5
202,0,24,30,2,807,1,8,3,8,3,1,790.6219142512941,14.265292616868656,202,94,81,94,1,org,,,,31322,4
203,0,2,10,0,144,1,6,3,6,3,4,123.95732599862285,14.265292616868656,37,19,9,14,3,com,,,,22506,4
204,0,58,74,0,1396,1,13,12,13,12,7,1442.9177085653198,14.265292616868656,308,129,148,126,3,org,,,,20420,5
209,0,15,19,0,580,1,17,16,17,16,0,462.66418189261526,14.265292616868656,112,58,64,59,18,com,,,,4102,4
210,0,3,3,1,48,0,1,1,1,1,1,32.52300980975058,14.265292616868656,11,6,7,3,5,com,,,,76,4
211,0,22,41,0,877,0,4,5,4,5,5,810.225225868001,14.265292616868656,193,96,106,104,0,com,,,,162,5
212,0,27,25,0,626,1,6,1,6,1,8,625.6709688185426,14.265292616868656,138,53,57,62,9,com,,,,437,4
213,0,176,184,0,4650,1,55,19,55,19,35,5670.336633917956,14.265292616868656,972,451,473,479,0,org,,,,12,4
215,0,20,14,0,359,1,5,1,5,1,4,248.13743222778493,14.265292616868656,77,30,27,32,0,com,,,,162,4
217,88,691,849,147,17296,0,48,107,48,107,41,18271.059097870162,14.265292616868656,2946,2224,1364,1601,8,com,,,,43178,3
218,0,4,2,0,53,1,1,,1,,1,36.187247055913296,14.265292616868656,14,9,4,2,0,com,,,,131659,3
220,0,58,58,1,1281,1,19,8,19,8,5,1364.6861240052074,14.265292616868656,311,135,144,121,0,com,,,,158409,2
224,4,76,63,12,1745,1,45,28,45,28,14,2064.851400625202,14.265292616868656,334,155,125,146,0,com,,,,4669973,2
225,0,10,9,0,194,1,3,1,3,1,0,188.22388252805027,14.265292616868656,55,28,14,15,0,org,,,,82763,4
227,0,46,38,14,1064,1,19,14,19,14,5,1134.848592508197,14.265292616868656,260,109,113,76,0,org,,,,772447,4
230,0,38,30,3,730,0,4,5,4,5,5,604.3590744243241,14.265292616868656,113,93,63,84,1,com,,,,13946,2
231,0,41,63,0,988,1,32,12,32,12,5,947.5819864644182,14.265292616868656,222,108,90,76,0,com,,,,299774,2
232,0,41,43,1,1243,1,5,3,5,3,2,1247.9374125078507,14.265292616868656,302,112,121,127,2,com,,,,3098571,4
233,0,0,2,1,39,0,1,1,1,1,1,16.04579249949533,14.265292616868656,4,6,3,1,0,com,,,,611463,4
239,0,29,27,0,662,1,9,4,9,4,10,583.9557226660945,14.265292616868656,98,68,73,65,0,com,,,,534,4
240,0,2,2,0,42,1,3,,3,,0,14.239612525511445,14.265292616868656,4,9,4,3,1,gov,,,,5023,5
241,0,531,483,0,10957,1,131,65,131,65,61,14297.02846534057,14.265292616868656,2956,1115,1225,821,0,org,,,,12,5
244,0,1,1,0,32,1,2,,2,,1,16.04579249949533,14.265292616868656,11,3,3,3,0,org,,,,31513,4
246,0,0,0,1,11,0,,1,,1,0,2.8927900303521317,14.265292616868656,1,3,1,1,0,co.uk,,,,14639,4
247,0,5,3,0,76,1,1,,1,,0,66.17229607894835,14.265292616868656,22,6,8,5,1,gov,,,,999,5
248,0,407,370,2,9380,1,168,21,168,21,49,11692.283980534896,14.265292616868656,2095,820,1091,868,0,org,,,,12,3
249,0,43,42,2,1026,1,32,7,32,7,15,1205.2031294653302,14.265292616868656,268,80,89,66,0,org,,,,1751310,2
250,0,16,22,0,408,1,9,1,9,1,11,366.9351880173455,14.265292616868656,102,28,46,34,0,org,,,,12,5
251,0,2,2,0,42,1,3,,3,,0,14.239612525511445,14.265292616868656,4,9,4,3,1,gov,,,,5023,5
253,0,0,1,1,15,0,,1,,1,0,4.668907502301862,14.265292616868656,5,1,1,2,2,com,,,,10915,4
254,0,16,14,0,326,1,7,2,7,2,3,339.55457145568994,14.265292616868656,90,39,38,34,1,com,,,,22506,4
256,0,1,3,0,84,1,1,,1,,0,52.83826156960372,14.265292616868656,18,8,10,9,0,co.uk,,,,134,4
257,0,9,9,0,202,1,1,,1,,1,178.58481351334365,14.265292616868656,51,25,23,20,0,ch,,,,72189,5
259,0,3,4,1,78,1,2,1,2,1,3,54.822770044966425,14.265292616868656,11,6,10,4,0,co.uk,,,,134,4
263,0,16,14,0,377,1,7,,7,,2,328.9260341526179,14.265292616868656,85,27,49,38,0,org,,,,4414,3
264,0,4,3,0,55,1,2,,2,,0,40.001301973757876,14.265292616868656,13,7,7,2,19,com,,,,2543,3
266,0,96,58,2,1549,1,12,2,12,2,26,1796.2312182698058,14.265292616868656,407,105,210,157,12,com,,,,492,5
267,0,2,2,0,29,0,,1,,1,0,16.04579249949533,14.265292616868656,9,4,2,1,1,com,,,,10093,4
268,0,39,38,0,868,1,18,8,18,8,10,912.265071858231,14.265292616868656,202,77,84,70,0,org,,,,182958,3
271,0,2,15,0,139,1,6,1,6,1,1,91.05104041988156,14.265292616868656,20,15,15,12,1,gov,,,,244,5
272,0,108,127,7,2207,1,38,9,38,9,34,2386.5764185270828,14.265292616868656,502,171,221,194,7,com,,,,278352,4
274,0,7,4,0,72,1,2,,2,,0,46.646172496324326,14.265292616868656,18,9,5,5,0,com,,,,1092,5
277,0,2,3,0,31,0,2,2,2,2,0,12.348114961243537,14.265292616868656,4,7,1,3,0,org,,,,289067,4
280,0,0,4,0,27,1,3,,3,,1,11.746054969915575,14.265292616868656,7,,5,2,0,com,,,,3575581,4
281,0,0,2,0,48,1,2,1,2,1,0,31.796917946182017,14.265292616868656,10,4,4,3,0,net,,,,3046994,4
282,0,10,41,0,776,1,7,2,7,2,86,1235.3491596053443,14.265292616868656,25,8,11,9,1,com,,,,36962,4
285,0,239,205,0,5138,1,88,12,88,12,32,6637.136917965155,14.265292616868656,1131,493,560,387,0,org,,,,12,4
287,0,93,72,0,1461,1,17,5,17,5,11,1756.4301912820947,14.265292616868656,391,113,141,99,0,org,,,,12,5
292,0,0,0,0,11,1,1,,1,,0,4.668907502301862,14.265292616868656,,2,2,2,1,com,,,,9806,4
295,0,62,56,0,1273,1,10,8,10,8,23,1676.1510664549141,14.265292616868656,296,96,146,95,19,com,,,,4102,4
297,0,0,4,0,40,1,2,1,2,1,1,22.86495465394476,14.265292616868656,8,8,3,4,2,com,,,,2200,4
299,0,8,14,1,209,1,5,1,5,1,1,151.5801953236523,14.265292616868656,49,25,19,9,0,org,,,,42132,5
300,0,64,35,3,1115,1,22,8,22,8,3,1374.402061914466,14.265292616868656,323,128,102,61,0,org,,,,9103034,3
304,0,0,2,0,19,1,1,,1,,1,7.986122593625963,14.265292616868656,4,3,1,3,0,com,,,,56,4
305,0,3,2,0,77,1,3,,3,,0,60.245339700049534,14.265292616868656,21,9,12,9,0,org,,,,161595,4
315,0,494,460,2,11562,1,32,17,32,17,39,16658.330145858356,14.265292616868656,2494,1288,1140,1024,0,gov,,,,4264,5
319,0,0,2,0,19,1,1,,1,,1,7.986122593625963,14.265292616868656,4,3,1,3,0,com,,,,56,4
321,0,2,4,0,59,1,2,,2,,0,26.020599913279625,14.265292616868656,10,8,4,3,4,org,,,,2324233,5
323,0,0,1,0,13,1,2,,2,,1,4.0668475109739,14.265292616868656,4,2,1,,13,com,,,,332,4
324,0,0,2,0,19,1,1,,1,,1,7.986122593625963,14.265292616868656,4,3,1,3,0,com,,,,56,4
326,0,15,9,1,302,1,4,1,4,1,2,212.5809293610124,14.265292616868656,50,32,29,23,5,com,,,,76,4
327,0,333,279,0,7592,1,75,38,75,38,47,9206.247544212818,14.265292616868656,1787,706,902,540,0,org,,,,12,5
328,0,17,16,1,294,1,3,2,3,2,2,213.67393786821503,14.265292616868656,47,36,27,25,5,com,,,,76,4
329,0,48,44,0,964,1,6,3,6,3,6,1053.7467989295562,14.265292616868656,240,119,85,76,2,com,,,,1125,4
334,0,8,8,0,163,1,3,,3,,1,121.62522777037799,14.265292616868656,28,27,14,18,0,net,,,,4480652,2
339,1,65,44,4,1292,1,18,12,18,12,8,1203.651226195163,14.265292616868656,215,157,118,98,1,org,,,,61141,4
340,0,1,2,0,32,1,1,,1,,0,12.348114961243537,14.265292616868656,6,4,2,4,1,com,,,,56,4
341,0,87,51,1,1375,0,12,21,12,21,6,1377.270397664383,14.265292616868656,291,148,117,114,12,com,,,,1141,4
352,0,118,85,8,2422,1,7,5,7,5,22,3029.275024931964,14.265292616868656,577,228,264,167,2,com,,,,3098571,4
353,1,83,64,0,1261,1,21,2,21,2,12,1509.4919932121854,14.265292616868656,305,164,139,75,5,com,,,,2774,4
356,0,0,5,0,45,1,2,1,2,1,1,20.83153089845781,14.265292616868656,5,10,4,3,0,com,,,,54,3
357,0,20,21,2,480,1,5,4,5,4,0,443.1126934532539,14.265292616868656,99,66,41,35,4,com,,,,23171,3
360,0,660,551,3,12907,1,165,23,165,23,96,17030.384674783912,14.265292616868656,3282,1158,1471,875,0,org,,,,12,5
361,0,3,1,0,35,1,2,,2,,1,22.262894662616798,14.265292616868656,11,2,4,1,1,gov,,,,48330,5
362,0,29,39,2,502,1,8,2,8,2,2,416.20951146177674,14.265292616868656,154,29,48,29,0,gov,,,,117378,5
363,0,1,6,0,137,1,6,2,6,2,2,130.9966348931301,14.265292616868656,29,13,13,11,2,com,,,,22506,5
365,0,154,163,0,3095,1,50,4,50,4,21,3396.704605837917,14.265292616868656,652,279,418,277,0,org,,,,12,5
366,0,0,2,0,21,0,,2,,2,0,8.568636235841012,14.265292616868656,6,3,2,3,0,com,,,,2412,4
367,0,80,49,0,1318,1,23,1,23,1,19,1316.9480460243296,14.265292616868656,328,80,124,79,0,org,,,,12,5
368,0,0,2,0,18,0,,1,,1,1,7.224719895935549,14.265292616868656,2,3,3,1,0,gov,,,,9617,5
369,0,17,22,0,510,1,3,2,3,2,3,497.6557149825958,14.265292616868656,105,62,39,53,3,com,,,,647,3
373,0,0,0,1,11,0,,1,,1,0,2.8927900303521317,14.265292616868656,1,3,1,1,0,co.uk,,,,14639,4
376,0,1,1,0,34,1,1,,1,,0,22.594905091859513,14.265292616868656,11,3,5,3,0,com,,,,515853,4
378,0,72,71,0,1628,1,23,9,23,9,28,2161.771302297685,14.265292616868656,365,113,129,85,1,edu,,,,587,5
380,0,0,1,0,19,1,1,,1,,0,12.9501749525715,14.265292616868656,6,2,2,1,0,gov,,,,244,5
381,0,20,10,0,268,1,7,3,7,3,1,254.62451143007422,14.265292616868656,69,27,21,10,1,com,,,,1144947,5
383,0,1,1,0,20,0,,1,,1,0,7.224719895935549,14.265292616868656,5,3,3,1,0,org,,,,1323457,4
384,0,0,1,0,12,0,,1,,1,0,5.915686280099798,14.265292616868656,3,1,2,1,1,gov,,,,2950,5
385,0,2,2,0,34,1,1,1,1,1,0,12.348114961243537,14.265292616868656,5,7,1,2,0,com,,,,13,5
387,2,12,24,0,458,1,11,1,11,1,19,536.6495657417751,14.265292616868656,96,49,43,33,0,com,,,,350998,5
388,0,3,2,0,28,1,2,,2,,0,20.00222712562679,14.265292616868656,12,,2,,0,gov,,,,117378,5
391,0,39,32,0,760,1,6,1,6,1,6,828.1823051287693,14.265292616868656,207,81,71,43,1,com,,,,9806,4
392,2,217,209,39,2748,1,26,2,26,2,37,3827.9710385197463,14.265292616868656,396,110,204,97,1,com,,,,103982,4
395,0,0,2,0,27,1,1,1,1,1,0,9.397940008672037,14.265292616868656,3,6,,4,2,com,,,,290611,5
403,0,0,2,0,19,1,1,,1,,1,7.986122593625963,14.265292616868656,4,3,1,3,0,com,,,,56,5
405,0,29,23,1,628,1,5,3,5,3,6,605.4501950144394,14.265292616868656,125,69,66,62,0,co.uk,,,,134,5
406,0,152,37,0,1341,1,23,7,23,7,91,1664.4765436825555,14.265292616868656,195,110,115,107,1,com,,,,697,4
408,0,714,623,3,17720,0,41,62,41,62,313,23778.376478507053,14.265292616868656,3977,1654,2080,1703,2,org,,,,34056,4
409,0,32,27,0,726,1,12,6,12,6,6,695.3231501897094,14.265292616868656,160,93,89,91,0,co.uk,,,,14639,5
412,0,44,35,0,799,1,14,13,14,13,5,769.2022632909996,14.265292616868656,134,103,76,95,0,com,,,,480,4
413,0,3,15,0,115,1,1,1,1,1,1,72.64725652788157,14.265292616868656,29,13,11,10,0,gov,,,,131,5
415,0,4,10,6,255,1,7,6,7,6,3,193.31118295797532,14.265292616868656,43,34,22,13,1,com,,,,167027,3
417,0,10,12,1,257,0,2,4,2,4,3,190.64361042260686,14.265292616868656,48,29,19,21,21,com,,,,332,5
418,0,0,2,1,39,0,1,1,1,1,1,16.04579249949533,14.265292616868656,4,6,3,1,0,com,,,,611463,5
420,0,47,51,1,1185,1,26,6,26,6,6,1142.588453054238,14.265292616868656,285,142,115,112,1,com,,,,9806,4
422,0,28,26,0,645,1,6,4,6,4,14,634.8570679910667,14.265292616868656,146,77,79,70,0,com,,,,534,4
424,0,0,2,1,39,0,1,1,1,1,1,16.04579249949533,14.265292616868656,4,6,3,1,0,com,,,,319,4
429,0,31,18,0,573,1,12,6,12,6,5,497.61261032831624,14.265292616868656,102,60,64,52,6,com,7,,8,3781,5
430,0,442,409,0,9591,1,91,57,91,57,129,12162.718108901865,14.265292616868656,2437,937,1127,807,0,org,,,,12,5
432,0,20,23,0,454,1,8,1,8,1,2,346.81163095063386,14.265292616868656,75,45,44,46,0,com,,,,3842,4
433,0,1,2,0,33,1,1,,1,,0,10.853259545412515,14.265292616868656,6,6,2,3,10,com,,,,4486,5
435,0,14,12,1,311,1,6,2,6,2,3,260.4904964903152,14.265292616868656,54,27,33,45,0,org,,,,402,5
437,0,6,11,0,226,1,3,1,3,1,4,197.1808491894804,14.265292616868656,47,26,26,28,0,com,,,,647,4
439,0,47,51,1,1185,1,26,6,26,6,6,1142.588453054238,14.265292616868656,285,142,115,112,1,com,,,,9806,4
440,0,167,121,10,3023,1,21,14,21,14,12,3440.1400901585707,14.265292616868656,725,304,312,269,0,com,,,,6887496,4
444,6,17,22,2,804,1,7,1,7,1,2,799.7778354576853,14.265292616868656,176,121,78,63,7,com,,,,976110,3
445,1,14,7,0,148,1,3,,3,,0,115.04617603363663,14.265292616868656,25,15,10,8,0,com,,,,4656,4
447,2,40,49,0,1720,1,57,26,57,26,4,1593.5315120805417,14.265292616868656,369,204,159,150,1,com,,,,2344,3
450,1,59,94,5,1182,1,8,8,8,8,7,1269.1977439051352,14.265292616868656,200,102,104,73,2,ca,,,,3611747,3
453,0,35,18,0,407,0,,2,,2,2,344.20732664972576,14.265292616868656,110,37,47,33,0,com,,,,28076,4
455,0,38,64,0,1033,0,,1,,1,18,1040.9660497631637,14.265292616868656,229,90,109,110,0,com,,,,2781511,3
457,0,18,10,0,265,1,1,1,1,1,2,229.47442710552977,14.265292616868656,63,15,22,26,0,gov,,,,8928,5
459,0,2,2,0,34,1,1,1,1,1,0,12.348114961243537,14.265292616868656,5,7,1,2,0,com,,,,13,5
460,0,2,2,0,34,1,1,1,1,1,0,12.348114961243537,14.265292616868656,5,7,1,2,0,com,,,,13,5
461,0,68,58,0,924,1,1,,1,,9,998.0302777761746,14.265292616868656,196,79,96,69,3,ca,,,,3611747,4
463,0,196,140,11,2903,0,19,33,19,33,10,3152.388656249089,14.265292616868656,580,310,248,255,0,com,,,,6281248,4
464,0,0,3,0,21,1,1,,1,,1,7.384062602298,14.265292616868656,5,2,2,3,0,com,,,,2412,4
473,0,20,18,0,466,1,11,,11,,7,469.3834504012,14.265292616868656,124,55,59,47,2,com,,,,89481,4
477,0,40,52,2,880,1,15,10,15,10,3,806.3040360166341,14.265292616868656,216,94,72,52,8,com,,,,2774,1
479,0,11,14,0,191,1,1,1,1,1,1,142.46641534943018,14.265292616868656,50,21,18,14,2,com,,,,182098,4
485,0,116,96,16,2302,0,9,14,9,14,14,2346.2256498507777,14.265292616868656,518,259,238,196,6,com,7,,8,3781,5
486,0,85,71,0,2057,1,41,34,41,34,4,2306.881145787538,14.265292616868656,606,256,197,136,1,com,,,,13303,5
487,0,5,3,1,68,0,2,2,2,2,1,40.376118183582776,14.265292616868656,8,18,2,2,1,org,,,,12979,4
